id,title,difficulty,acceptanceRate,totalAccepted,totalSubmissions,trueDifficultyScore,url
3348,Smallest Divisible Digit Product II,Hard,10.13%,2620,25859,817.78,https://leetcode.com/problems/smallest-divisible-digit-product-ii/
3509,Maximum Product of Subsequences With an Alternating Sum Equal to K,Hard,10.40%,3500,33642,816.32,https://leetcode.com/problems/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/
3510,Minimum Pair Removal to Sort Array II,Hard,12.85%,2445,19029,814.88,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-ii/
3486,Longest Special Path II,Hard,16.41%,1361,8293,812.84,https://leetcode.com/problems/longest-special-path-ii/
3539,Find Sum of Array Product of Magical Sequences,Hard,18.52%,973,5254,812.7,https://leetcode.com/problems/find-sum-of-array-product-of-magical-sequences/
3435,Frequencies of Shortest Supersequences,Hard,15.21%,1662,10930,812.37,https://leetcode.com/problems/frequencies-of-shortest-supersequences/
3501,Maximize Active Section with Trade II,Hard,18.97%,917,4835,811.53,https://leetcode.com/problems/maximize-active-section-with-trade-ii/
3518,Smallest Palindromic Rearrangement II,Hard,11.76%,4161,35394,810.64,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/
3463,Check If Digits Are Equal in String After Operations II,Hard,9.45%,7094,75050,808.18,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/
3357,Minimize the Maximum Adjacent Element Difference,Hard,15.16%,2151,14193,807.44,https://leetcode.com/problems/minimize-the-maximum-adjacent-element-difference/
3245,Alternating Groups III,Hard,14.87%,1969,13245,807.21,https://leetcode.com/problems/alternating-groups-iii/
3395,Subsequences with a Unique Middle Mode I,Hard,16.74%,1902,11364,805.59,https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-i/
3333,Find the Original Typed String II,Hard,14.56%,2709,18605,805.42,https://leetcode.com/problems/find-the-original-typed-string-ii/
3303,Find the Occurrence of First Almost Equal Substring,Hard,13.64%,4409,32327,800.64,https://leetcode.com/problems/find-the-occurrence-of-first-almost-equal-substring/
3445,Maximum Difference Between Even and Odd Frequency II,Hard,18.40%,2156,11719,800.33,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii/
3454,Separate Squares II,Hard,18.66%,2130,11416,799.95,https://leetcode.com/problems/separate-squares-ii/
3504,Longest Palindrome After Substring Concatenation II,Hard,15.48%,4768,30805,798.62,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-ii/
3441,Minimum Cost Good Caption,Hard,18.70%,2496,13348,797.42,https://leetcode.com/problems/minimum-cost-good-caption/
3464,Maximize the Distance Between Points on a Square,Hard,18.88%,2588,13708,796.88,https://leetcode.com/problems/maximize-the-distance-between-points-on-a-square/
3534,Path Existence Queries in a Graph II,Hard,20.60%,2053,9964,796.66,https://leetcode.com/problems/path-existence-queries-in-a-graph-ii/
3321,Find X-Sum of All K-Long Subarrays II,Hard,15.75%,4117,26133,796.26,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-ii/
3266,Final Array State After K Multiplication Operations II,Hard,11.69%,9431,80642,794.65,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-ii/
